month;ICLAs;ECLAs;CCLAs
2019-02;1;0;1
2019-03;0;0;2
2019-04;3;2;12
2019-05;2;3;4
2019-06;10;3;21
2019-07;13;6;19
2019-08;6215;5341;503
2019-09;48;60;10
2019-10;74;131;12
2019-11;71;156;11
2019-12;40;78;19
2020-01;57;82;13
2020-02;53;109;11
2020-03;81;112;6
2020-04;83;110;9
2020-05;57;111;10
2020-06;117;198;10
2020-07;99;118;8
2020-08;143;70;20
2020-09;106;75;26
2020-10;133;73;8
2020-11;111;68;14
2020-12;99;58;16
2021-01;111;87;29
2021-02;116;83;14
2021-03;174;114;24
2021-04;124;56;19
2021-05;18408;82;18
2021-06;284;1722;243
2021-07;519;173;29
2021-08;524;979;66
2021-09;236;90;17
2021-10;238;81;21
2021-11;414;313;53
2021-12;1324;113;25
2022-01;597;148;30
2022-02;478;147;32
2022-03;402;137;34
2022-04;364;119;25
2022-05;397;115;22
2022-06;407;142;42
2022-07;415;140;20
2022-08;610;146;23
2022-09;476;202;35
2022-10;590;273;38
2022-11;478;183;38
2022-12;421;95;26
2023-01;456;128;27
2023-02;473;251;31
2023-03;564;1276;59
2023-04;511;621;51
2023-05;480;676;28
2023-06;428;2659;45
2023-07;427;1182;39
2023-08;489;686;41
2023-09;407;446;34
2023-10;454;2427;75
2023-11;462;619;39
2023-12;379;81;19
2024-01;468;107;26
2024-02;440;258;36
2024-03;545;599;30
2024-04;460;157;25
2024-05;500;516;23
2024-06;392;1906;37
2024-07;465;907;22
2024-08;486;187;36
2024-09;460;217;43
2024-10;548;156;27
2024-11;469;207;29
2024-12;407;108;23
2025-01;412;157;26
2025-02;417;193;27
2025-03;509;253;27
2025-04;475;184;31
2025-05;517;258;29
2025-06;477;204;17
2025-07;499;202;36
2025-08;477;232;25
2025-09;473;190;22
2025-10;492;174;18
2025-11;466;143;12
